Рейтинг,Год,Месяц,Источник,Текст отзыва,Автор,Дата_ISO
5.0,2021,3,Google Maps,"Небольшой отель, с включенными завтраками и ужинами. Номера чистые, но в нашем прохладно. Кормят вкусно и разнообразно! Находятся в 5-10 минутах езды от поляны Азау, но есть свой трансфер в каждую сторону. Пешком за 15 минут можно дойти до Чегета и их местного рынка",Кирилл Громов,2021-03-04T13:03:39+00:00
1.0,2020,1,Google Maps,"Гостиница ужасная, в номерах реально ничего нет ( мы жили в люксе). Грязно, везде черные длинные волосы, в ванне, на постельном,  на полу. Еда действительно отвратительная. В номерах горничные практически не убирают, только мусор выносят и туалетную бумагу докладывают. На этом все. За 3 дня ни разу ни пылесосили,  ни делали влажную уборку, кровати не заправляют, полотенца не складывают. Хорошее только месторасположение и природа, на этом все. При  этом чумовая цена в сезон 8 тыс руб в сутки.",237mmmm,2020-01-05T23:59:59+00:00
5.0,2021,8,Google Maps,"Персонал не навязчивый, на глаза не попадается) в номерах меняют мыло если закончится но уборки не делали. Не критично уходил из номера утром приходил переночевать. Не хватает на мой взгляд светильника над кроватью ,что бы читать необходимо включать общий свет. Расположение отличное. Рядом река , правда мусора много ,но это вопросы не к отелю.",Aleksandr Z,2021-08-21T03:08:34+00:00
5.0,2018,2,Google Maps,Здесь поситителей мало но очень хорошо.В комнатах прибрано в оплату номера входит питание только завтрак и ужин. Нету обеда потому что есть утром маршрутка (бесплатно) везёт к месту где находятся горы (в том числе и гора Эльбрус) с балкона открывается замечательный вид на гору. Тут есть бесплатный вайфай. В горах есть прокат на сноуборде и на гор. Лыжах. Это место  замечательное и всем тут понравиться!!!,TERA SER %,2018-02-20T20:53:26+00:00
5.0,2021,2,Google Maps,"Комфортное место для отдыха, очень приветливый и отзывчивый персонал. Номера разных категлрий, чисто. В столовой неплохая кухня, с правом выбора блюд. До поляны Чегет средним шагом 15 минут. Большой плюс - наличие трансфера до Азау. Рядом, в шаговой доступности масса развлечений, бани, рыбалка, катание на лошадях (да, не удивляйтесь), нам пришлось воспользоваться всеми услугами, т.к попали в непогоду. Все приятного отдыха в отели ""Смайл"".",Елена Брагина,2021-02-20T15:30:49+00:00
4.0,2021,9,Google Maps,"Очень красивые, приятные номера, телевизор, окна с видом на горы, в крайних номерах даже есть балкончики. Завтраки и ужины вкусные, но без сложных блюд. Персонал приветливый. Из минусов хочу выделить отсутствие холодильников в номерах и холод по ночам, с которым ничего не сделаешь.",Анна Савилова (Феалин Эдель Тин-Таур),2021-09-10T17:02:31+00:00
5.0,2018,4,Google Maps,"Отель зачётный, интерьеры классические, неколхозные. Простыни, полотенца беленькие. Ванные комнаты с ванной, шампуни и прочее присутствуют. Жили в катальный период апреля. Есть автобус-трансфер в Азау. В пути не более 5 мин. Кормят вкусно. Чай кофе в столовой в любое время бесплатно. В день Пасхи на завтрак были и куличи, и яйца цветные. В номерах тепло. Сушилка и лыжная комната есть в подвале. Там же теннисный стол, бильярд.",Dim May,2018-04-08T13:57:36+00:00
5.0,2017,11,Google Maps,"Тепло, уют, домашняя обстановка, чистота и удобства, все это я  нашел здесь!  Мы были в восторге! в 5 минутах,канатка и все достопримечательности и снежный рай !ресторане кормили очень хорошо, отдельное Спасибо красавице Индире, вы самая лучшая не зря вас туда поставили начальник не дурак👍👍👍Спасибо за гостеприимство! Вы на высоте! Моя оценка- отлично! Рекомендую!",хизир за,2017-11-24T18:48:38+00:00
5.0,2019,2,Google Maps,"Красивый, новый отель. Сервис прекрасный, все очень дружелюбные. ||Потрясающе вкусные завтраки в отеле. ||Поляна Чегет в пешей доступности. Есть трансфер (удобный и вместительный микроавтобус) до и от поляны Азау, Чегета. ||Огромный плюс, что есть лыжехранилище (и снобоурдОхранилище, естественно) и отдельная сушилка. ||Еще, что очень понравилось, что по сравнению с другими отелями - отель Смайл стоит не на дороге, а немного углубляясь в лес, что создает атмосферу уюта и тишины.",ElenaaaVasilyeva,2019-02-18T23:59:59+00:00
2.0,2021,6,Google Maps,"Были в отели в июне 3 ночи. Вначале плюсы это расположение отеля и природа, которая окружает. Теперь минусы и их очень много, номер убран плохо мы брали доп.место для ребенка сдвинули немного кровать, а там вообще никто не убирает. Кровати не удобные, подушки тоже. Удивляюсь почему всех радует еда - полная фигня. Один раз позавтракали и больше не приходили (хотя завтрак и ужин был включён в стоимость). Могли бы хотя бы маленький холодильник поставить в номер.",_X6373AW,2021-06-26T23:59:59+00:00
3.0,2017,3,Google Maps,"Большие, хорошие, светлые и очень чистые номера. Очень теплые (даже излишне теплые, но отличные батареи полезны для сушки снаряжения). До Чегетской поляны километр, до Эльбруса ходит свой автобус-трансфер (правда только один раз в день). Очень приветливый персонал (что нормально для кавказа). Гостиница чуть в глубине, поэтому шоссе не мешает, а из открытого окна слышна река и птицы, что приятно. Тротуара на шоссе нет, поэтому любое перемещение - идти по обочине шоссе. Это неприятно. И в общем, любое перемещение из гостиницы требует такси. Есть лыжехранилище - хорошее и теплое. Если попросить, в номере появится чайник (но надо попросить). Вообще они очень приветливы, так что думаю, что, если попросить, то в номере много чего появится. Номера продаются только с полупансионом и это беда, потому что кухня ужасна: и бедная, и невкусная. Фактически мы предпочитали ужинать в другом месте, хотя за этот было уже заплачено. Неприятно, что при этом приходилось доплачивать по мелочи, например, кофе - за отдельные деньги из автомата. Впрочем, оплаты копеешные, обидно, что они есть при высокой цене за номер. Для горнолыжного курорта - нормально за эти деньги, и, если бы не полный кошмар на кухне, было бы даже очень хорошо, хотя и без изюминки.",fedorv25,2017-03-30T23:59:59+00:00
5.0,2018,8,Google Maps,"Двухместные номера хорошие. Большие, вполне достаточно для двух человек чтобы разложить вещи и не чувствовать себя стеснёнными. С балконом (у нас, и два номера у друзей). У отеля своя бойлерная, поэтому когда холодно - всегда тёплые батареи. И их можно регулировать.||||Чего в номерах нет - так это холодильников. И чайников. Однако, я позвонил в отель накануне приезда чтобы уточнить про чайники и бокалы для вина в номерах (а мы были компанией в пять человек и нам актуально было после дневных походов посидеть вечером в номере за киношкой или настолками) - и нас заверили, что всё можно, и чайники найдут, и бокалы из ресторана принесут. И точно, по приезду мы обнаружили в каждом из наших номеров по чайнику и по паре бокалов :-)||||Трансфер по ближайшей округе есть. Небольшой автобус, так что и на компанию человек в 15 хватит. Трансфер фактически за счёт отеля, на возили и на поляну Чегет, и на поляну Азау, и в Терскол. И обратно тоже, мы звонили администратору Заире и через 15 минут за нами приезжал автобус.||||Что касается кухни, то тут я скажу отдельно. Она не бедная, нет. Правильнее сказать - простая. Завтрак и ужин. Каждый раз выбор из пяти-шести блюд, из которых мы выбирали по два-три. На завтрак как правило каши, яичница, творог (очень вкусный, всем понравился) со сметаной, кекс. Чай, кофе (растворимый) - бесплатно. Если хочешь не растворимый, а специальный - тогда да, вроде за денежку, но нам и так хватало. Ужин - котлеты, гарниры, салаты, роллы с сыром и зеленью, компот, чай, кофе. И питательно! Хорошего завтрака (но не от пуза!) хватало взрослым парням чтобы прогуляться пешком до Девичьих Кос и обратно на поляну Чегет и через шесть часов после завтрака пообедать. Или на Чегет подняться. Полупансион оказался очень удобен: позавтракать в отеле, потом после долгой и нелёгкой прогулки по горам пообедать у Чегета и уже вечером догнаться ужином, насколько было желание.||||И самое главное - очень приветливые сотрудники! Пожалуй, самый душевный отель из всех, где мне доводилось бывать по миру! :-)",Andrey_Smolyakov,2018-08-15T23:59:59+00:00
4.0,2019,3,Google Maps,"Проживали с друзьями в гостинице Smile неделю. Она расположение в тихом лесу. На цокольном этаже есть пинг-понг, удобно организовано место для хранения  лыж и сушки ботинок, но к сожалению нет сауны. Завтраки и при необходимости ужины простые,  но вполне достаточные и приготовлены вкусно. Каждое утро в 9:00 автобус от гостиницы довозит лыжников до поляны Азау, а вечером соответственно привозит назад. Если народу много утром бывает две ходки автобуса. Гостиница свежая, с хорошим ремонтом. До поляны Чегет мы ходили пешком, это занимало не более 10 минут. Есть свой паркинг. Рядом расположена конюшня, где можно взять в прокат лошадей. Рекомендую гостиницу Smile для проживания.",RSE_007,2019-03-24T23:59:59+00:00
4.0,2021,2,Google Maps,"Отель находиться рядом с горой Чегет, на горе трасса для профиков. До горы Азау ходит автобус в 8.30. 9.00 и 9.30, едет минут 10 и там, если на автобус не успели  такси 300р. Азау всем подходит, учиться тоже там можно. Отель нормальный, мебель новая, еда вкусная. Персонал очень хороший. Мне все очень понравилось.",Олеся Иванова,2021-02-15T08:59:26+00:00
4.0,2021,11,Google Maps,"Бронировали отель для семьи (2 взр + 2 реб)|Взяли номер «люкс». |По факту, конечно это не люкс, но приятный чистый номер с обычным ремонтом.|Плюсы отеля то что есть завтрак и ужин, включено в стоимость.|Минус - нет воды в номере, слышимость, территория не облагорожена. Нет выбор еды на завтрак и ужин.|В итоге за 2 дня 16000 руб - считаю дорого для такого места",Dana13_06,2021-11-07T23:59:59+00:00
4.0,2024,6,Google Maps,"Персонал отеля был вежлив. Моему товарищу не приглянулось расположение доставшегося ему номера, он обратился к администратору, номер поменяли на аналогичный без проблем и проволочек. Вообще все мелкие запросы возникающие во время проживания решались быстро на стойке регистрации.
Отель расположен на некотором удалении от всей местной вечерней жизни, что я лично не считаю недостатком поскольку это компенсируется спокойствием и тишиной отдыха в номерах отеля. К недостаткам можно отнести:
1) Отсутствие освещенного  и твердого пешеходного пути до отеля. Для прохода к местам вечернего времяпровождения приходится перебегать дорогу перед несущимися автомобилями местных джигитов и прыгать в темноту кустов на обочине. Поэтому желательно брать с собой какой-нибудь фонарик ( можно обойтись смартфоном).
2) На этажах отсутствует бойлер с кипятком/питьевой водой. Единственный источник кипятка находится в столовой на первом этаже. Поэтому если вы вдруг захотели хлебнуть чайку вечерком у себя в номере, идите через весь отель до первого этажа с вашими стаканами без ручки, а потом обратно. Да и сделайте это в часы когда столовая открыта :)
3) Вид из окна не плох (вид на сосновый лес), но величие гор из номера отеля вы не увидите (а вдруг кому-то надо?).",Vladimir,2024-06-14T23:59:59+00:00
5.0,2018,6,Google Maps,"Новый отель, хорошая мебель. Чистые номера. Завтраки сытные, ужины тоже понравились! Вечером конечно скучновато.. Но это все мелочи)) Будет возможность обязательно приедем к вам ещё!",Denis Volkov,2018-06-01T19:03:01+00:00
5.0,2018,6,Google Maps,"Отличный отель, великолепный и отзывчивый персонал, прекрасное расположение! Пару приятных моментов: 1) приехал в гостиницу заселяться поздно вечером, ближе к ночи, администратор отеля ИНДИРА, встретила очень радушно, как близкого друга, разместили в номере и в качестве комплемента от отеля, напомню НОЧЬЮ, бесплатно накормили очень вкусным и сытным ужином, 2) у отеля свой автобус, который БЕСПЛАТНО утром отвозит постояльцев от отеля до подъёмников на поляну Азау и вечером оттуда забирает обратно, очень удобно 👍, 3) один раз утром проспал 😜, все утренние рейсы до подъёмников, но мне повезло, там работает отличный и отзывчивый водитель Марат, он на личном автомобиле как раз ехал в сторону поляны и БЕСПЛАТНО меня туда подбросил 👍! Питание в отеле без изысков (привет гурманам, любителям ресторанной кухни 😜), но в принципе это и не к чему, то что есть готовят очень вкусно и сытно, утром закинулся кашкой или яйчницей, с блинчиками и кофе и вперёд покорять склоны, а любителям изысков, вокруг полно ресторанов и кафе с разнообразнейшими блюдами кавказской кухни. В номерах очень уютно и чисто, убирались каждый день, полотенца и постельное белье меняли по просьбе, шикарнейший вид из окна и балкона на горы и горную реку, ах какже круто просыпаться утром в горах под звук горной речки! Решил написать пару строчек и тут мне что-то понесло 😜, но это от хороших воспоминаний и впечатлений, хочется вернуться сюда снова и я непременно приеду сюда ещё!!! ВСЁ!!!😜👍😉😃🏔️🏘️❄️🏂",Иван Горпинченко,2018-06-03T07:26:45+00:00
4.0,2020,8,Google Maps,"По описанию комплектации номеров согласна с предsleobvb отзывами, кроме пункта о грязи - у нас было очень чисто, балкон выходил на сосновый лес и горную реку, батарея шпарила так, что мы ее отключили, в ванной было все необходимое, телевизор не работал, но нам это и не нужно было.||Местонахождение прекрасное - можно догулять и до поляны Чегет, и до Азау (по тропе здоровья), вокруг полно развлечений - конюшни, рестораны, кальянные и прочее, на поляне Чегет милый рыночек с ягодами, фруктами и прочей местной продукцией.||Единственный минус отеля - очень скудный и убогий завтрак, вместо масла подают маргарин, кофе растворимый, зерновой за деньги (и он тоже так себе). В отеле, где ночь стоит 4-6 тысяч рублей, это просто позор и неуважение.||И ведь недорого же стоит молотый кофе и сливочное масло, это не предметы роскоши.||А еще на ресепшн лежит прайс-лист на массаж, но сотрудница ресепшн ничего об этом не знает и сразу говорит, чтобы звонили по контактному телефону, а по указанному телефону никто весь день не отвечает. Вот так массажисты заинтересованы в клиентах и заработке!||А в остальном, с учетом, что мы там провели всего одну ночь. очень даже ничего.||И ещё на ресепшн есть котик!",Eskanderia55,2020-08-26T23:59:59+00:00
4.0,2023,8,Google Maps,"Еда вкусная, сытная и разнообразная. Завтрак обычно из трёх блюд. Каша, творог, яичница. Чай, кофе. Сыр, масло.
Номер замечательный. Сладко спится на удобной кровати под шум горной речки. Не хватает на первый взгляд холодильника и чайника,  быстро решили этот вопрос. Чай, кофе предлагается в столовой в любое время до 23.00. Продукты можно положить в холодильник в столовой
Убирка в номере, мусор выносили не каждый день",Olga,2023-08-29T23:59:59+00:00
5.0,2024,1,Google Maps,"Расположен равноудаленно от всех главных достопримечательностей: вниз - поляна нарзанов, в бок через р. Баксан - Чегет, наверх - поляна Азау и Эльбрус, чуть правее и там уже дорога на ""девичьи косы"". Везде можно без проблем дойти пешком по экологическим тропам.
Все без каких-либо проблем: чисто, удобные кровати, отличный вид из окна, туалетные принадлежности (гель для душа, шампунь, полотенца), из крана течет нарзанная вода (воду можно пить прямо из крана), в общем, все что нужно.
Все на достойном уровне, к чистоте не было никаких вопросов.
Отзывчивая девушка на ресепшене (все возникшие вопросы решались быстро), хорошее питание (быстрое обслуживание, приветливый персонал).
Даже и придраться особо не к чему. Остались полностью довольны. На следующий летний сезон будем заселяться туда же.",Artem,2024-01-18T23:59:59+00:00
5.0,2021,3,Google Maps,Очень хороший отель. Чисто .тепло .уютно. Персонал вежливый обходительный. Двух разовое питание. Приезжайте в Смайл не пожалеете. Находится в безопасности от лавин.Чегет в шаговой доступности. Терскол  и Азау тоже рядом.,Наталья Капшук,2021-03-12T11:28:06+00:00
2.0,2019,8,Google Maps,"Хорошие номера и расположение. Но в номере грязно. Считаю что чистоту можно оценить только чисто или нет, никаких промежуточных оценок. Завтрак скудный.",Ekaterina Belash,2019-08-16T09:40:27+00:00
5.0,2024,7,Google Maps,"Тихое место, парковка для авто, хороший вид из окна. Персонал отеля.
-",Sergej,2024-07-12T23:59:59+00:00
5.0,2024,6,Google Maps,"Хороший чистый номер. Девушка администратор дружелюбна❤️
Завтрак каша или яичница. Хотелось бы больше вариантов на завтрак",Anna,2024-06-15T23:59:59+00:00
5.0,2019,3,Google Maps,"Отличный отель, вежливый персонал, свой трансфер до горы, завтраки и ужины очень разнообразные , по домашнему очень вкусные) единственный минус, плохо убирались в номере и цена всё же дороговата за номер, есть предложения намного дешевле и ближе.",Alena Alimova,2019-03-28T14:58:43+00:00
3.0,2019,2,Google Maps,"В номере эконом, еле еле работал вай фай,  заселили быстро,быстро предоставили доп место, все чисто, убрано, отличная ванная комната, тепло, приятный персонал, но на стойке регистрации никого не найдешь))",Голубцов Александр,2019-02-17T04:36:53+00:00
4.0,2021,1,Google Maps,"Отель чистый, в номерах ванны, балкончики, есть хранилище спорт инвентаря. Легкие минусы - спартанские завтраки за 200-250р, в виде сыра, хлеба и макорошек в молочке. Спартак на диете.",FroloV412,2021-01-04T21:33:34+00:00
5.0,2020,11,Google Maps,"Очень. хороший отель, чистый уютный. Спасибо  всем сотрудникам за вежливость и обходительность, Советую приезжать в отель Смысл и отдыхать",Наталья Васильевна,2020-11-28T14:40:58+00:00
4.0,2021,8,Google Maps,"4 звезды только за уровень комфорта. Очень скромные и простые номера. Но кормят нормально, персонал вежливый",Natalya Lalova,2021-08-13T09:16:19+00:00
5.0,2018,4,Google Maps,"Уютное местечко, номера комфортно тёплые, бесплатный wi-fi, для нас он оказался ценным, т.к. теле 2 вообще там и не работал.",Елена Елена,2018-04-09T20:00:16+00:00
5.0,2021,9,Google Maps,"Отличный отель в своей категории. Приветливый персонал, простые и чистые номера, вкусные завтраки и ужины",Анастасия Кокарева,2021-09-17T08:37:25+00:00
4.0,2021,3,Google Maps,"нормальный отель довольно свежий,кормят неплохо,бойлер с горячей и холодной водой на ресепшн).",Дмитрий Семенов,2021-03-11T15:09:40+00:00
5.0,2024,9,Google Maps,"Удобно расположен, рядом магазины, кафе. Всё понравилось.
-",Dina,2024-09-04T23:59:59+00:00
5.0,2018,9,Google Maps,"Отличный отель, очень вкусные завтраки и ужины. Гостеприимные балкарцы! А какие здесь виды, просто сказка!",Александр Зуев,2018-09-01T15:03:01+00:00
5.0,2019,9,Google Maps,"привет из ВЛАДИВОСТОКА отдыхали в сентябре 2016г. Всё было супер.Гостеприимный персонал, кухня класс,всегда было чисто.",Света Салькова,2019-09-29T13:14:31+00:00
4.0,2018,9,Google Maps,"А нам кофе давали не за бесплатно, а 100 р кружка,
Ну всё равно это самое крутое место где я побывал советую и рекомендую",ИВАН КОСТЮК,2018-09-25T16:15:01+00:00
5.0,2018,9,Google Maps,"Очень тихое, уютное место. Мебель вся новая.  Ванная с разовым шампунем и гелем. Возможно проживание с питанием или без Него",avia sale,2018-09-01T13:54:28+00:00
5.0,2018,3,Google Maps,"Отличный отель,персонал очень доброжелательный и отзывчивый,номера очень уютные и чистые,приедем еще раз)",Marina Sayfutdinova,2018-03-07T13:10:35+00:00
4.0,2021,7,Google Maps,"Чисто , уютно , вкусно кормят , - жаль холодильника в номере нет  ,",BDG BDG,2021-07-06T07:15:13+00:00
4.0,2018,8,Google Maps,"Наверное неплох, не останавливались. С виду чисто, персонал приветливый.",Nik Tarin,2018-08-10T20:25:20+00:00
3.0,2020,8,Google Maps,"Ремонт достаточно свежий, течёт ванна, нет москитных сеток на окнах, на завтрак только растворимый кофе, слышно реку",Ivan Dybko,2020-08-30T12:01:39+00:00
5.0,2021,6,Google Maps,"Чисто,уютно,удобно.в кране ключевая вода, можно пить.",Евгения Николашева,2021-06-30T13:42:44+00:00
1.0,2021,12,Google Maps,"Не ставьте машину возле крыльца, мне льдина повредила капот, и никто даже не сказал извините, не говоря уже о компесации ущерба.",Алексей Крохмаль,2021-12-05T15:16:42+00:00
4.0,2017,3,Google Maps,"Новый отель, кормят вкусно. Но маловато развлечений вечером",Александр Коротков,2017-03-02T19:31:04+00:00
5.0,2021,3,Google Maps,Отличный отель! Приветливый персонал! Вкусная кухня!,Ольга Тулеева,2021-03-29T12:47:11+00:00
5.0,2023,10,Google Maps,"Отель, где расположен,номер
В общем все нормально",Dmitrij,2023-10-02T23:59:59+00:00
5.0,2019,2,Google Maps,"Гости приемный персонал, бесплатный трансфер до горы и обратно.",Sergey Surkov,2019-02-13T20:02:53+00:00
5.0,2020,11,Google Maps,"Все супер отлично.  Спасибо огромное Адаму. Огромная благодарность

официантка Владе

😍😍😍😘😘😘🥰🥰🥰💯💯💯👌👌👌👌👌👍👍👍👍👍👏👏👏👏👏",Мадина Хушт,2020-11-19T10:23:23+00:00
5.0,2020,1,Google Maps,"Уютно, чисто, красиво, вкусно готовят, приветливый персонал",Люда,2020-01-23T08:47:12+00:00
5.0,2021,3,Google Maps,"Очень комфортно, тепло, светло, хорошая кухня",Мари Бонд,2021-03-09T14:50:23+00:00
3.0,2021,1,Google Maps,"Отель  без темы и кухни, хотя всё для этого есть.",Станислав Малюгин,2021-01-13T11:28:03+00:00
5.0,2020,12,Google Maps,"Хороший отель. Тихо, спокойно, чисто.",Андрей Никишин,2020-12-19T09:01:31+00:00
5.0,2019,3,Google Maps,Хороший 3-звездочный отель с комфортными номерами,Сергей Григорьев,2019-03-04T04:49:49+00:00
5.0,2016,7,Google Maps,Товарищеский. Он чист. Красивая. Все хорошо. Существует Елина.,Lee동영상,2016-07-04T05:13:16+00:00
5.0,2023,10,Google Maps,"Отель, где расположен,номер
В общем все нормально",Dmitrij,2023-10-02T23:59:59+00:00
5.0,2018,1,Google Maps,отличный новый отель есть развозка,Арсений Ал,2018-01-20T08:19:00+00:00
5.0,2019,1,Google Maps,Понравилось! Вкусно кормят! Чисто.,Лариса Шкляева,2019-01-10T18:06:36+00:00
5.0,2019,8,Google Maps,То самое место где можно убрать все телефоны и от всей души просто отдохнуть,Кассандра А.,2019-08-02T20:26:04+00:00
